seed;final_cost;planning_time;nodes;collisions
201;0;0;1;3
1;1460.4;4.011;601;72994
1;1491.2;3.313;356;27362
1;1466.2;3.22;553;59614
1;1466.2;3.224;574;66344
1;1466.8;3.321;512;53488
1;1466.8;7.573;523;56051
1;1466.2;3.897;547;59289
1;1466.2;3.214;547;59217
1;1466.8;3.946;526;56712
1;1466.8;3.902;518;55492
1;1466.8;3.708;499;50964
1;1466.8;3.364;513;53858
1;1466.8;3.441;500;51005
1;1486.5;3.338;476;45204
1;1466.8;3.361;531;57637
1;1466.76;4.059;525;56490
1;1466.76;3.359;512;53499
1;1466.15;3.277;576;67556
