seed;final_cost;planning_time;nodes;collisions
1;1375.31;3.004;5843;24157
1;1375.31;3.006;5770;23859
1;1375.31;3.007;6568;27046
1;1375.3;3.005;5272;21803
1;1375.3;3.008;6346;26163
1;1375.3;3.002;5826;24089
1;1375.3;3.921;5616;23198
1;1375.3;5.327;5470;22580
1;1375.3;3.643;5932;24495
1;1375.3;5.098;6093;25126
1;1375.3;3.705;6425;26486
1;1375.3;5.283;6294;25977
1;1375.3;3.773;6705;27584
1;1375.3;3.651;6260;25827
1;1375.3;4.048;5557;22979
1;1375.3;4.12;5617;23203
1;1375.3;5.738;5621;23220
1;1375.31;4.134;5816;24051
1;1375.31;4.024;5710;23623
1;1375.31;3.738;6530;26914
